Date,Base,Quote,Rate
2026-08-01,USD,EUR,0.86902
2026-08-01,USD,GBP,0.74407
2026-08-01,USD,JPY,160.49
2026-08-01,USD,VND,26188.0
2026-08-02,USD,EUR,0.86891
2026-08-02,USD,GBP,0.744
2026-08-02,USD,JPY,160.37
2026-08-02,USD,VND,26192.0
2026-08-03,USD,EUR,0.86813
2026-08-03,USD,GBP,0.74341
2026-08-03,USD,JPY,158.06
2026-08-03,USD,VND,26184.0
2026-08-04,USD,EUR,0.8682
2026-08-04,USD,GBP,0.74381
2026-08-04,USD,JPY,157.66
2026-08-04,USD,VND,26179.0
2026-08-05,USD,EUR,0.86606
2026-08-05,USD,GBP,0.74315
2026-08-05,USD,JPY,157.77
2026-08-05,USD,VND,26174.0
2026-08-06,USD,EUR,0.86583
2026-08-06,USD,GBP,0.74281
2026-08-06,USD,JPY,157.91
2026-08-06,USD,VND,26151.0
2026-08-07,USD,EUR,0.86623
2026-08-07,USD,GBP,0.743
2026-08-07,USD,JPY,158.18
2026-08-07,USD,VND,26137.0
2026-08-08,USD,EUR,0.86628
2026-08-08,USD,GBP,0.74304
2026-08-08,USD,JPY,158.22
2026-08-08,USD,VND,26137.0
2026-08-09,USD,EUR,0.86627
2026-08-09,USD,GBP,0.74307
2026-08-09,USD,JPY,158.22
2026-08-09,USD,VND,26134.0
2026-08-10,USD,EUR,0.86531
2026-08-10,USD,GBP,0.74148
2026-08-10,USD,JPY,158.49
2026-08-10,USD,VND,26102.0
2026-08-11,USD,EUR,0.86538
2026-08-11,USD,GBP,0.7406
2026-08-11,USD,JPY,159.11
2026-08-11,USD,VND,26087.0
2026-08-12,USD,EUR,0.86616
2026-08-12,USD,GBP,0.74014
2026-08-12,USD,JPY,159.28
2026-08-12,USD,VND,26054.0
2026-08-13,USD,EUR,0.86625
2026-08-13,USD,GBP,0.74091
2026-08-13,USD,JPY,159.38
2026-08-13,USD,VND,26011.0
2026-08-14,USD,EUR,0.86552
2026-08-14,USD,GBP,0.74027
2026-08-14,USD,JPY,159.31
2026-08-14,USD,VND,26029.0
2026-08-15,USD,EUR,0.86526
2026-08-15,USD,GBP,0.73999
2026-08-15,USD,JPY,159.29
2026-08-15,USD,VND,26031.0
