TradeID,EntryTime,ExitTime,Entry,SL,TP,Exit,RiskPoints,RMultiple,Result,EquityBefore,PnL,EquityAfter
1,2024-01-02 10:00:00,2024-01-02 10:30:00,2044.05,2036.14,2059.85,2036.14,7.9,-1.0,LOSS,10000.0,-100.0,9900.0
2,2024-01-03 00:00:00,2024-01-03 04:00:00,2041.13,2032.1,2059.18,2032.1,9.03,-1.0,LOSS,9900.0,-99.0,9801.0
3,2024-01-03 19:00:00,2024-01-04 10:00:00,2038.78,2030.43,2055.49,2030.43,8.35,-1.0,LOSS,9801.0,-98.01,9702.99
4,2024-01-05 00:30:00,2024-01-05 03:30:00,2034.78,2020.73,2062.88,2020.73,14.05,-1.0,LOSS,9702.99,-97.03,9605.96
5,2024-01-05 12:00:00,2024-01-05 16:30:00,2030.39,2022.2,2046.76,2022.2,8.19,-1.0,LOSS,9605.96,-96.06,9509.9
6,2024-01-06 11:00:00,2024-01-07 19:00:00,2029.36,2013.15,2061.76,2061.76,16.2,2.0,WIN,9509.9,190.2,9700.1
7,2024-01-07 20:00:00,2024-01-10 07:30:00,2063.71,2044.54,2102.05,2074.39,19.17,0.557,WIN,9700.1,54.07,9754.17
8,2024-01-11 06:00:00,2024-01-11 22:00:00,2069.56,2056.77,2095.15,2056.77,12.79,-1.0,LOSS,9754.17,-97.54,9656.62
9,2024-01-13 10:00:00,2024-01-13 12:00:00,2053.92,2044.07,2073.61,2044.07,9.85,-1.0,LOSS,9656.62,-96.57,9560.06
10,2024-01-14 07:30:00,2024-01-14 10:30:00,2055.74,2048.81,2069.59,2048.81,6.93,-1.0,LOSS,9560.06,-95.6,9464.46
11,2024-01-14 20:00:00,2024-01-14 22:00:00,2061.18,2052.44,2078.67,2052.44,8.74,-1.0,LOSS,9464.46,-94.64,9369.81
12,2024-01-15 10:00:00,2024-01-15 22:30:00,2062.29,2055.73,2075.42,2055.73,6.57,-1.0,LOSS,9369.81,-93.7,9276.11
13,2024-01-16 09:00:00,2024-01-18 00:30:00,2069.83,2053.89,2101.7,2101.7,15.94,2.0,WIN,9276.11,185.52,9461.64
14,2024-01-18 01:30:00,2024-01-19 00:30:00,2102.32,2093.86,2119.24,2119.24,8.46,2.0,WIN,9461.64,189.23,9650.87
15,2024-01-20 02:30:00,2024-01-21 17:30:00,2106.96,2099.5,2121.89,2099.5,7.46,-1.0,LOSS,9650.87,-96.51,9554.36
16,2024-01-24 05:00:00,2024-01-26 16:30:00,2079.11,2066.69,2103.96,2088.94,12.42,0.791,WIN,9554.36,75.56,9629.92
17,2024-01-26 23:30:00,2024-01-27 09:30:00,2095.47,2082.6,2121.19,2121.19,12.86,2.0,WIN,9629.92,192.6,9822.52
18,2024-01-28 02:30:00,2024-01-29 09:00:00,2124.16,2113.29,2145.89,2113.29,10.87,-1.0,LOSS,9822.52,-98.23,9724.29
19,2024-01-29 18:00:00,2024-01-31 09:00:00,2125.91,2111.51,2154.72,2111.51,14.4,-1.0,LOSS,9724.29,-97.24,9627.05
20,2024-02-01 09:00:00,2024-02-02 03:30:00,2105.26,2094.81,2126.15,2094.81,10.45,-1.0,LOSS,9627.05,-96.27,9530.78
21,2024-02-02 22:00:00,2024-02-03 01:00:00,2104.03,2093.26,2125.58,2093.26,10.78,-1.0,LOSS,9530.78,-95.31,9435.47
22,2024-02-04 00:00:00,2024-02-05 07:30:00,2085.17,2069.44,2116.63,2069.44,15.73,-1.0,LOSS,9435.47,-94.35,9341.12
23,2024-02-06 14:00:00,2024-02-07 10:00:00,2060.04,2048.63,2082.87,2082.87,11.41,2.0,WIN,9341.12,186.82,9527.94
24,2024-02-07 11:00:00,2024-02-08 23:00:00,2084.79,2071.51,2111.36,2111.36,13.28,2.0,WIN,9527.94,190.56,9718.5
25,2024-02-09 04:00:00,2024-02-10 03:30:00,2113.46,2102.07,2136.25,2136.25,11.39,2.0,WIN,9718.5,194.37,9912.87
26,2024-02-10 04:30:00,2024-02-10 12:00:00,2139.97,2122.42,2175.06,2122.42,17.55,-1.0,LOSS,9912.87,-99.13,9813.74
27,2024-02-11 19:00:00,2024-02-11 23:30:00,2111.31,2099.97,2134.0,2099.97,11.34,-1.0,LOSS,9813.74,-98.14,9715.6
28,2024-02-14 01:00:00,2024-02-14 08:00:00,2091.7,2084.08,2106.93,2106.93,7.61,2.0,WIN,9715.6,194.31,9909.91
29,2024-02-14 10:30:00,2024-02-14 22:00:00,2110.1,2095.92,2138.47,2095.92,14.19,-1.0,LOSS,9909.91,-99.1,9810.81
30,2024-02-15 07:00:00,2024-02-16 21:00:00,2108.12,2096.39,2131.56,2131.56,11.72,2.0,WIN,9810.81,196.22,10007.03
31,2024-02-17 11:00:00,2024-02-18 16:00:00,2131.35,2120.79,2152.48,2152.48,10.56,2.0,WIN,10007.03,200.14,10207.17
32,2024-02-18 19:00:00,2024-02-19 06:30:00,2154.77,2139.57,2185.18,2139.57,15.2,-1.0,LOSS,10207.17,-102.07,10105.1
33,2024-02-20 10:00:00,2024-02-22 13:30:00,2107.89,2095.28,2133.12,2095.28,12.61,-1.0,LOSS,10105.1,-101.05,10004.05
34,2024-02-23 01:30:00,2024-02-23 16:30:00,2107.19,2097.83,2125.91,2097.83,9.36,-1.0,LOSS,10004.05,-100.04,9904.01
35,2024-02-24 01:30:00,2024-02-24 03:30:00,2106.88,2096.19,2128.27,2117.98,10.69,1.038,WIN,9904.01,102.75,10006.76
