TradeID,SignalTime,EntryTime,ExitTime,Side,Entry,SL,TP,Exit,Units,RMultiple,PnL,EquityAfter,ExitReason
1,,2025-01-01 13:30:00,2025-01-02 16:00:00,BUY,2613.97,2599.87,2642.17,2599.87,7.0922,-1.0,-100.0,9900.0,SL
2,,2025-01-03 10:00:00,2025-01-04 22:00:00,BUY,2603.08,2592.57,2624.1,2592.57,9.4196,-1.0,-99.0,9801.0,SL
3,,2025-01-05 09:30:00,2025-01-06 20:00:00,BUY,2600.24,2581.83,2637.06,2637.06,5.3237,2.0,196.02,9997.02,TP
4,,2025-01-07 19:30:00,2025-01-09 07:00:00,BUY,2620.36,2606.75,2647.58,2647.58,7.3453,2.0,199.94,10196.96,TP
5,,2025-01-10 12:00:00,2025-01-12 05:00:00,BUY,2630.39,2618.28,2654.61,2654.61,8.4203,2.0,203.94,10400.9,TP
6,,2025-01-12 13:00:00,2025-01-13 00:30:00,BUY,2655.71,2646.61,2673.91,2673.91,11.4296,2.0,208.02,10608.92,TP
7,,2025-01-13 08:30:00,2025-01-13 19:30:00,BUY,2676.08,2662.46,2703.32,2662.46,7.7892,-1.0,-106.09,10502.83,SL
8,,2025-01-14 07:00:00,2025-01-14 17:00:00,BUY,2666.39,2651.87,2695.43,2651.87,7.2334,-1.0,-105.03,10397.8,SL
9,,2025-01-16 05:00:00,2025-01-16 23:30:00,BUY,2634.57,2621.99,2659.73,2621.99,8.2653,-1.0,-103.98,10293.82,SL
10,,2025-01-18 06:00:00,2025-01-19 02:00:00,BUY,2613.28,2600.22,2639.4,2639.4,7.8819,2.0,205.88,10499.7,TP
11,,2025-01-19 07:30:00,2025-01-19 14:00:00,BUY,2643.55,2633.14,2664.37,2633.14,10.0862,-1.0,-105.0,10394.7,SL
12,,2025-01-20 12:00:00,2025-01-20 13:00:00,BUY,2637.77,2628.32,2656.67,2628.32,10.9997,-1.0,-103.95,10290.75,SL
13,,2025-01-21 02:00:00,2025-01-21 09:30:00,BUY,2627.02,2615.42,2650.22,2615.42,8.8713,-1.0,-102.91,10187.85,SL
14,,2025-01-21 23:30:00,2025-01-22 12:30:00,BUY,2622.29,2606.76,2653.35,2653.35,6.5601,2.0,203.76,10391.6,TP
15,,2025-01-22 13:30:00,2025-01-24 08:00:00,BUY,2656.3,2640.71,2687.48,2640.71,6.6656,-1.0,-103.92,10287.69,SL
16,,2025-01-25 03:00:00,2025-01-25 06:00:00,BUY,2627.39,2614.27,2653.63,2614.27,7.8412,-1.0,-102.88,10184.81,SL
17,,2025-01-25 22:00:00,2025-01-26 13:00:00,BUY,2621.33,2612.14,2639.71,2639.71,11.0825,2.0,203.7,10388.51,TP
18,,2025-01-26 18:30:00,2025-01-27 05:00:00,BUY,2645.28,2633.58,2668.68,2633.58,8.8791,-1.0,-103.89,10284.62,SL
19,,2025-01-28 00:30:00,2025-01-28 04:30:00,BUY,2636.74,2626.78,2656.66,2656.66,10.3259,2.0,205.69,10490.31,TP
20,,2025-01-29 00:00:00,2025-01-30 14:00:00,BUY,2665.12,2652.13,2691.1,2691.1,8.0757,2.0,209.81,10700.12,TP
21,,2025-02-01 07:30:00,2025-02-01 16:00:00,BUY,2641.32,2628.88,2666.2,2666.2,8.6014,2.0,214.0,10914.12,TP
22,,2025-02-02 20:00:00,2025-02-02 20:30:00,BUY,2654.58,2646.26,2671.22,2646.26,13.1179,-1.0,-109.14,10804.98,SL
23,,2025-02-04 14:30:00,2025-02-04 21:30:00,BUY,2585.66,2569.66,2617.66,2569.66,6.7531,-1.0,-108.05,10696.93,SL
